n, iterator-time, recursive-time
825,982,2473
826,979,2427
827,981,2396
828,982,2437
829,985,2489
830,991,2628
831,983,2391
832,983,2407
833,985,2304
834,982,2269
835,989,2295
836,991,2317
837,982,2341
838,988,2440
839,993,2440
840,990,2380
841,1003,2362
842,996,2471
843,14091,2746
844,1056,2828
845,1054,2980
846,1066,3007
847,1068,2888
848,1077,2934
849,1058,2854
850,1059,2494
851,1057,2581
852,1067,2649
853,1148,2706
854,1075,2653
855,1069,2665
856,1070,2884
857,1063,2526
858,1065,2470
859,1066,2594
860,1078,2987
861,1084,2791
862,1078,2748
863,1165,2923
864,1086,2756
865,1085,2775
866,1078,2627
867,1079,2546
868,1090,2750
869,1169,2843
870,1078,2536
871,1084,2619
872,1081,2629
873,1134,2835
874,1093,2549
875,1179,2593
876,1099,2691
877,1104,2562
878,1103,2883
879,1124,2908
880,1118,2662
881,1105,2949
882,1127,2857
883,1118,2774
884,1105,2844
885,1112,2751
886,1129,2803
887,1128,2830
888,1123,2875
889,1124,2834
890,1120,2860
891,1126,2881
892,1126,2784
893,1130,2869
894,1132,2776
895,1124,2789
896,1126,2879
897,1134,2861
898,1127,2809
899,1137,2848
900,1142,6647
901,1136,2832
902,1130,2943
903,1154,2801
904,1143,2939
905,1133,2805
906,1131,3094
907,1134,2873
908,1126,2992
909,1130,2909
910,1139,3001
911,1145,2892
912,1140,3016
913,1167,2870
914,1138,2921
915,1141,3016
916,1140,2836
917,1148,2811
918,1149,2843
919,1152,2951
920,1163,2904
921,1144,2835
922,1152,2914
923,1152,2943
924,1170,2959
925,1162,2990
926,1153,3091
927,1157,2867
928,1171,2942
929,1158,3458
930,1159,3058
931,1248,3341
932,1163,3288
933,1164,3050
934,1167,3323
935,1214,3363
936,1166,3482
937,1170,3166
938,1241,3240
939,1166,3240
940,1344,8101
941,1178,3178
942,1355,3738
943,1457,3404
944,1365,3394
945,1355,3392
946,1476,3364
947,1383,3570
948,1356,3707
949,1594,4165
950,1359,4182
951,1228,3785
952,1214,3912
953,1628,4466
954,1279,4364
955,1532,4572
956,1596,4058
957,1596,4036
958,1415,5029
959,1468,4081
960,1592,3795
961,1565,3953
962,1190,4217
963,1386,3546
964,1328,4738
965,1378,5109
966,1446,4067
967,1621,3832
968,1291,4176
969,1695,4372
970,2337,5505
971,1346,4274
972,1947,4330
973,2210,5423
974,1428,4619
975,1581,4125
976,1510,4176
977,1445,3854
978,1411,3572
979,1549,4141
980,1564,3864
981,1296,4180
982,1714,4408
983,2156,4186
984,1321,4202
985,1453,3371
986,1506,3803
987,1438,4143
988,1604,4691
989,1476,4168
990,1385,3858
991,1939,4444
992,1312,4211
993,1569,3755
994,1441,3615
995,1386,4322
996,1365,3804
997,1281,3907
998,1468,3927
999,1695,3755
1000,1543,4026
1001,1391,3720
1002,1302,4746
1003,1325,4388
1004,1246,4423
1005,1715,3984
1006,1348,4851
1007,1438,5006
1008,1880,4031
1009,1560,4103
1010,1515,4289
1011,1968,4496
1012,1478,4069
1013,1409,4020
1014,1734,4517
1015,1440,4702
1016,1624,5733
1017,1808,4406
1018,1573,4615
1019,1649,4463
1020,1699,3878
1021,1832,4775
1022,1330,24237
1023,1469,3922
1024,1297,3352
1025,1272,3227
1026,1294,3432
1027,1281,3281
1028,1294,3096
1029,1267,3364
1030,1354,3222
1031,1287,3383
1032,1362,3160
1033,1413,3169
1034,1280,3412
1035,1417,3172
1036,1427,3634
1037,1282,3771
1038,1519,3629
1039,1283,3346
1040,1504,5250
1041,1555,4836
1042,1363,4794
1043,1526,4375
1044,1288,4475
1045,1717,7496
1046,1518,6451
1047,1367,4965
1048,1503,5811
